deriv1 : 0, val : 0, +1mili value : 0
deriv1 : 0.00109843, val : -0.0549405, +1mili value : 0.00107902
deriv1 : 0.19224, val : -0.0068301, +1mili value : 0.187647
deriv1 : 0.273914, val : -0.0068301, +1mili value : 0.248091
deriv1 : 0.182606, val : -0.0068301, +1mili value : 0.17392
deriv1 : 0.182606, val : -0.0068301, +1mili value : 0.17392
deriv1 : 0.182606, val : -0.0068301, +1mili value : 0.17392
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0.183393
deriv1 : 0, val : -0.0204732, +1mili value : 0
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.042216, +1mili value : 0
deriv1 : 0, val : -0.00820581, +1mili value : 0
deriv1 : 0, val : -0.00820581, +1mili value : 0
deriv1 : 0, val : -0.00820581, +1mili value : 0
deriv1 : 0, val : -0.00820581, +1mili value : 0
deriv1 : -0.189536, val : -0.0476921, +1mili value : -0.183507
deriv1 : 0, val : -0.0476921, +1mili value : 0
deriv1 : 0, val : -0.0319883, +1mili value : 0
deriv1 : 0.00581148, val : -0.0476921, +1mili value : 0.00567263
deriv1 : 0, val : -0.0319883, +1mili value : 0
deriv1 : 0, val : -0.0658275, +1mili value : 0
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0, val : -0.0600681, +1mili value : 0
deriv1 : 0, val : -0.0834856, +1mili value : 0
deriv1 : 0, val : -0.0602092, +1mili value : -0.000879211
deriv1 : 0, val : -0.0602092, +1mili value : -0.000879211
deriv1 : 0.00674924, val : -0.0734452, +1mili value : 0.0066416
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0, val : -0.0410447, +1mili value : 0
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0, val : -0.073164, +1mili value : 0
deriv1 : 0.050795, val : -0.0718412, +1mili value : 0.0499847
deriv1 : 0.050795, val : -0.0718412, +1mili value : 0.0499847
deriv1 : -0.0510637, val : -0.0718412, +1mili value : -0.0498436
deriv1 : 0, val : -0.0718412, +1mili value : 0
deriv1 : 0, val : -0.0718412, +1mili value : 0
deriv1 : 0, val : -0.0718412, +1mili value : 0
deriv1 : 0, val : -0.0718412, +1mili value : 0
deriv1 : 0.0032488, val : -0.0835202, +1mili value : 0.00321774
deriv1 : 0, val : -0.0833212, +1mili value : 0
